VariableName,Value,ValueLabel
Control of institution (HD2023),1,Public
Control of institution (HD2023),2,Private not-for-profit
Control of institution (HD2023),3,Private for-profit
State abbreviation (HD2022),CA,California
State abbreviation (HD2022),IL,Illinois
State abbreviation (HD2022),IN,Indiana
State abbreviation (HD2022),IA,Iowa
State abbreviation (HD2022),KS,Kansas
State abbreviation (HD2022),MI,Michigan
State abbreviation (HD2022),MN,Minnesota
State abbreviation (HD2022),MO,Missouri
State abbreviation (HD2022),NE,Nebraska
State abbreviation (HD2022),ND,North Dakota
State abbreviation (HD2022),OH,Ohio
State abbreviation (HD2022),SD,South Dakota
State abbreviation (HD2022),WI,Wisconsin
Carnegie Classification 2025: Institutional Classification (HD2024),1,Mixed Associate Large
Carnegie Classification 2025: Institutional Classification (HD2024),2,Mixed Associate Medium
Carnegie Classification 2025: Institutional Classification (HD2024),3,Mixed Associate Small
Carnegie Classification 2025: Institutional Classification (HD2024),4,Mixed Associate/Baccalaureate
Carnegie Classification 2025: Institutional Classification (HD2024),5,Mixed Baccalaureate
Carnegie Classification 2025: Institutional Classification (HD2024),6,Mixed Undergraduate/Graduate-Doctorate Large
Carnegie Classification 2025: Institutional Classification (HD2024),7,Mixed Undergraduate/Graduate-Doctorate Medium
Carnegie Classification 2025: Institutional Classification (HD2024),8,Mixed Undergraduate/Graduate-Doctorate Small
Carnegie Classification 2025: Institutional Classification (HD2024),9,Mixed Undergraduate/Graduate-Master's Large/Medium
Carnegie Classification 2025: Institutional Classification (HD2024),10,Mixed Undergraduate/Graduate-Master's Small
Carnegie Classification 2025: Institutional Classification (HD2024),11,Professions-focused Associate Large/Medium
Carnegie Classification 2025: Institutional Classification (HD2024),12,Professions-focused Associate Small
Carnegie Classification 2025: Institutional Classification (HD2024),13,Professions-focused Associate/Baccalaureate
Carnegie Classification 2025: Institutional Classification (HD2024),14,Professions-focused Baccalaureate Medium
Carnegie Classification 2025: Institutional Classification (HD2024),15,Professions-focused Baccalaureate Small
Carnegie Classification 2025: Institutional Classification (HD2024),16,Professions-focused Undergraduate/Graduate-Doctorate Large
Carnegie Classification 2025: Institutional Classification (HD2024),17,Professions-focused Undergraduate/Graduate-Doctorate Medium
Carnegie Classification 2025: Institutional Classification (HD2024),18,Professions-focused Undergraduate/Graduate-Doctorate Small
Carnegie Classification 2025: Institutional Classification (HD2024),19,Professions-focused Undergraduate/Graduate-Master's Large/Medium
Carnegie Classification 2025: Institutional Classification (HD2024),20,Professions-focused Undergraduate/Graduate-Master's Small
Carnegie Classification 2025: Institutional Classification (HD2024),21,Special Focus: Applied and Career Studies
Carnegie Classification 2025: Institutional Classification (HD2024),22,Special Focus: Arts and Sciences
Carnegie Classification 2025: Institutional Classification (HD2024),23,"Special Focus: Arts, Music, and Design"
Carnegie Classification 2025: Institutional Classification (HD2024),24,Special Focus: Business
Carnegie Classification 2025: Institutional Classification (HD2024),25,Special Focus: Graduate Studies
Carnegie Classification 2025: Institutional Classification (HD2024),26,Special Focus: Law
Carnegie Classification 2025: Institutional Classification (HD2024),27,Special Focus: Medical Schools and Centers
Carnegie Classification 2025: Institutional Classification (HD2024),28,Special Focus: Nursing
Carnegie Classification 2025: Institutional Classification (HD2024),29,Special Focus: Other Health Professions
Carnegie Classification 2025: Institutional Classification (HD2024),30,"Special Focus: Technology, Engineering, and Sciences"
Carnegie Classification 2025: Institutional Classification (HD2024),31,Special Focus: Theological Studies
Carnegie Classification 2025: Institutional Size (HD2024),1,Very Small
Carnegie Classification 2025: Institutional Size (HD2024),2,Small
Carnegie Classification 2025: Institutional Size (HD2024),3,Medium
Carnegie Classification 2025: Institutional Size (HD2024),4,Large
Carnegie Classification 2025: Institutional Size (HD2024),5,Very Large
Carnegie Classification 2025: Research Activity Designation (HD2024),1,Research 1: Very High Spending and Doctorate Production
Carnegie Classification 2025: Research Activity Designation (HD2024),2,Research 2: High Spending and Doctorate Production
Carnegie Classification 2025: Research Activity Designation (HD2024),3,Research Colleges and Universities
